time,epoch,batch,loss,cost
0min6sec,0,0,6.263,21.113
0min40sec,0,10,12.419,20.744
0min42sec,0,20,14.451,20.264
0min40sec,0,30,13.371,19.832
0min39sec,0,40,12.537,19.411
0min39sec,0,50,11.061,19.043
0min39sec,0,60,10.155,18.682
0min38sec,0,70,9.126,18.360
0min37sec,0,80,8.153,18.079
0min36sec,0,90,7.366,17.826
0min30sec,0,100,6.660,17.595
0min29sec,0,110,6.013,17.381
0min34sec,0,120,5.546,17.179
0min36sec,0,130,5.097,17.001
0min36sec,0,140,4.710,16.832
0min37sec,0,150,4.371,16.679
0min36sec,0,160,4.040,16.537
0min35sec,0,170,3.706,16.411
0min36sec,0,180,3.501,16.289
0min36sec,0,190,3.278,16.178
0min36sec,0,200,3.059,16.075
0min36sec,0,210,2.853,15.982
0min36sec,0,220,2.660,15.897
0min35sec,0,230,2.503,15.814
0min32sec,0,240,2.362,15.735
0min36sec,0,250,2.208,15.662
0min35sec,0,260,2.090,15.591
0min36sec,0,270,1.964,15.524
0min35sec,0,280,1.838,15.464
0min35sec,0,290,1.734,15.407
0min35sec,0,300,1.630,15.352
0min34sec,0,310,1.558,15.298
0min35sec,0,320,1.471,15.247
0min35sec,0,330,1.401,15.200
0min35sec,0,340,1.341,15.154
0min35sec,0,350,1.246,15.113
0min35sec,0,360,1.187,15.072
0min34sec,0,370,1.137,15.032
0min36sec,0,380,1.054,14.995
0min35sec,0,390,1.006,14.960
0min35sec,0,400,0.939,14.927
0min35sec,0,410,0.886,14.896
0min34sec,0,420,0.841,14.865
0min34sec,0,430,0.801,14.834
0min35sec,0,440,0.749,14.806
0min34sec,0,450,0.714,14.778
0min35sec,0,460,0.689,14.750
0min35sec,0,470,0.655,14.724
0min35sec,0,480,0.621,14.699
0min35sec,0,490,0.584,14.676
0min35sec,0,500,0.574,14.652
0min35sec,0,510,0.553,14.627
0min35sec,0,520,0.532,14.603
0min35sec,0,530,0.495,14.581
0min35sec,0,540,0.473,14.561
0min36sec,0,550,0.441,14.543
0min35sec,0,560,0.446,14.523
0min35sec,0,570,0.425,14.503
0min35sec,0,580,0.406,14.483
0min35sec,0,590,0.380,14.465
0min35sec,0,600,0.357,14.448
0min29sec,0,610,0.341,14.430
0min29sec,0,620,0.320,14.414
0min27sec,0,630,0.311,14.397
0min26sec,0,640,0.304,14.380
0min25sec,0,650,0.284,14.363
0min25sec,0,660,0.273,14.347
0min26sec,0,670,0.260,14.331
0min29sec,0,680,0.252,14.316
0min27sec,0,690,0.243,14.301
0min28sec,0,700,0.236,14.284
0min28sec,0,710,0.223,14.270
0min25sec,0,720,0.210,14.256
0min25sec,0,730,0.204,14.242
0min24sec,0,740,0.193,14.227
0min24sec,0,750,0.187,14.213
0min24sec,0,760,0.183,14.199
0min25sec,0,770,0.168,14.187
0min23sec,0,780,0.163,14.174
0min23sec,0,790,0.156,14.163
0min24sec,0,800,0.160,14.152
0min24sec,0,810,0.153,14.141
0min24sec,0,820,0.152,14.131
0min23sec,0,830,0.146,14.120
0min23sec,0,840,0.137,14.110
0min23sec,0,850,0.126,14.101
0min23sec,0,860,0.126,14.090
0min23sec,0,870,0.131,14.079
0min24sec,0,880,0.115,14.070
0min24sec,0,890,0.109,14.062
0min23sec,0,900,0.117,14.052
0min23sec,0,910,0.120,14.043
0min24sec,0,920,0.116,14.035
0min25sec,0,930,0.111,14.026
0min27sec,0,940,0.110,14.018
0min24sec,0,950,0.110,14.009
0min23sec,0,960,0.104,14.000
0min23sec,0,970,0.093,13.992
0min23sec,0,980,0.095,13.984
0min23sec,0,990,0.091,13.975
0min25sec,0,1000,0.088,13.967
0min26sec,0,1010,0.084,13.959
0min24sec,0,1020,0.084,13.951
0min24sec,0,1030,0.086,13.943
0min24sec,0,1040,0.087,13.935
0min23sec,0,1050,0.083,13.928
0min23sec,0,1060,0.081,13.920
0min23sec,0,1070,0.086,13.912
0min23sec,0,1080,0.083,13.903
0min24sec,0,1090,0.076,13.896
0min23sec,0,1100,0.075,13.889
0min23sec,0,1110,0.076,13.881
0min23sec,0,1120,0.079,13.874
0min24sec,0,1130,0.072,13.868
0min23sec,0,1140,0.068,13.861
0min25sec,0,1150,0.071,13.854
0min23sec,0,1160,0.075,13.847
0min24sec,0,1170,0.072,13.840
0min26sec,0,1180,0.072,13.834
0min27sec,0,1190,0.068,13.827
0min25sec,0,1200,0.068,13.821
0min25sec,0,1210,0.067,13.814
0min25sec,0,1220,0.066,13.808
0min24sec,0,1230,0.064,13.802
0min23sec,0,1240,0.065,13.796
0min26sec,0,1250,0.061,13.791
0min26sec,0,1260,0.061,13.785
0min26sec,0,1270,0.064,13.779
0min24sec,0,1280,0.062,13.773
0min26sec,0,1290,0.062,13.768
0min26sec,0,1300,0.060,13.762
0min26sec,0,1310,0.059,13.756
0min28sec,0,1320,0.057,13.750
0min25sec,0,1330,0.056,13.745
0min28sec,0,1340,0.053,13.739
0min27sec,0,1350,0.052,13.733
0min26sec,0,1360,0.039,13.729
0min24sec,0,1370,0.041,13.723
0min24sec,0,1380,0.039,13.718
0min25sec,0,1390,0.034,13.712
0min25sec,0,1400,0.032,13.707
0min26sec,0,1410,0.032,13.702
0min24sec,0,1420,0.030,13.696
0min23sec,0,1430,0.025,13.691
0min23sec,0,1440,0.025,13.686
0min23sec,0,1450,0.021,13.681
0min23sec,0,1460,0.021,13.677
0min24sec,0,1470,0.021,13.671
0min26sec,0,1480,0.019,13.666
0min25sec,0,1490,0.019,13.661
0min25sec,0,1500,0.018,13.656
0min26sec,0,1510,0.021,13.652
0min24sec,0,1520,0.021,13.647
0min25sec,0,1530,0.019,13.641
0min24sec,0,1540,0.013,13.637
0min23sec,0,1550,0.010,13.632
0min23sec,0,1560,0.005,13.628
0min24sec,0,1570,0.007,13.623
0min23sec,0,1580,0.003,13.619
0min24sec,0,1590,0.003,13.615
0min24sec,0,1600,0.005,13.610
0min23sec,0,1610,0.006,13.606
0min23sec,0,1620,0.009,13.601
0min23sec,0,1630,0.006,13.596
0min23sec,0,1640,0.004,13.592
0min23sec,0,1650,0.004,13.588
0min23sec,0,1660,0.007,13.583
0min23sec,0,1670,0.009,13.579
0min23sec,0,1680,0.008,13.574
0min23sec,0,1690,0.005,13.570
0min27sec,0,1700,0.008,13.565
0min30sec,0,1710,0.004,13.562
0min24sec,0,1720,0.005,13.558
0min26sec,0,1730,0.005,13.553
0min27sec,0,1740,0.008,13.549
0min24sec,0,1750,0.005,13.545
0min24sec,0,1760,0.007,13.541
0min24sec,0,1770,0.009,13.537
0min23sec,0,1780,0.010,13.533
0min23sec,0,1790,0.015,13.529
0min23sec,0,1800,0.016,13.525
0min23sec,0,1810,0.018,13.521
0min23sec,0,1820,0.018,13.517
0min23sec,0,1830,0.021,13.512
0min27sec,0,1840,0.021,13.508
0min24sec,0,1850,0.019,13.504
0min25sec,0,1860,0.021,13.500
0min26sec,0,1870,0.023,13.496
0min25sec,0,1880,0.022,13.493
0min27sec,0,1890,0.019,13.490
0min25sec,0,1900,0.022,13.486
0min26sec,0,1910,0.021,13.483
0min25sec,0,1920,0.022,13.479
0min23sec,0,1930,0.020,13.475
0min23sec,0,1940,0.016,13.472
0min23sec,0,1950,0.017,13.468
0min23sec,0,1960,0.018,13.464
0min23sec,0,1970,0.018,13.461
0min23sec,0,1980,0.019,13.457
0min22sec,0,1990,0.017,13.454
0min23sec,0,2000,0.016,13.450
0min24sec,0,2010,0.017,13.447
0min23sec,0,2020,0.017,13.443
0min22sec,0,2030,0.014,13.439
0min22sec,0,2040,0.013,13.436
0min23sec,0,2050,0.017,13.433
0min22sec,0,2060,0.017,13.430
0min22sec,0,2070,0.019,13.426
0min23sec,0,2080,0.015,13.423
0min23sec,0,2090,0.013,13.419
0min23sec,0,2100,0.013,13.416
0min22sec,0,2110,0.014,13.412
0min23sec,0,2120,0.011,13.409
0min23sec,0,2130,0.010,13.406
0min23sec,0,2140,0.009,13.402
0min29sec,0,2150,0.009,13.399
0min26sec,0,2160,0.007,13.396
0min25sec,0,2170,0.009,13.393
0min25sec,0,2180,0.012,13.390
0min26sec,0,2190,0.012,13.387
0min25sec,0,2200,0.012,13.384
0min26sec,0,2210,0.016,13.381
0min23sec,0,2220,0.016,13.378
0min23sec,0,2230,0.015,13.375
0min22sec,0,2240,0.015,13.372
0min23sec,0,2250,0.015,13.370
0min25sec,0,2260,0.013,13.367
0min24sec,0,2270,0.013,13.364
0min24sec,0,2280,0.011,13.361
0min25sec,0,2290,0.011,13.358
0min23sec,0,2300,0.011,13.355
0min24sec,0,2310,0.009,13.352
0min23sec,0,2320,0.009,13.349
0min23sec,0,2330,0.008,13.347
0min22sec,0,2340,0.011,13.343
0min23sec,0,2350,0.011,13.340
0min23sec,0,2360,0.009,13.337
0min23sec,0,2370,0.007,13.335
0min22sec,0,2380,0.008,13.332
0min23sec,0,2390,0.005,13.330
0min24sec,0,2400,0.006,13.327
0min24sec,0,2410,0.007,13.324
0min23sec,0,2420,0.006,13.321
0min26sec,0,2430,0.006,13.319
0min24sec,0,2440,0.007,13.316
0min23sec,0,2450,0.008,13.313
0min24sec,0,2460,0.005,13.311
0min24sec,0,2470,0.005,13.309
0min23sec,0,2480,0.007,13.306
0min23sec,0,2490,0.005,13.303
39min31sec,1,0,-3.461,12.510
0min22sec,1,10,-4.403,12.646
0min22sec,1,20,-3.455,12.587
0min23sec,1,30,-3.801,12.595
0min23sec,1,40,-4.060,12.612
0min22sec,1,50,-3.980,12.615
0min22sec,1,60,-3.973,12.624
0min22sec,1,70,-4.362,12.651
0min22sec,1,80,-4.480,12.665
0min23sec,1,90,-4.703,12.683
0min22sec,1,100,-4.814,12.697
0min22sec,1,110,-4.921,12.707
0min23sec,1,120,-5.064,12.719
0min23sec,1,130,-5.118,12.724
0min22sec,1,140,-5.170,12.728
0min22sec,1,150,-5.300,12.738
0min22sec,1,160,-5.354,12.741
0min22sec,1,170,-5.263,12.734
0min23sec,1,180,-5.389,12.743
0min22sec,1,190,-5.348,12.742
0min23sec,1,200,-5.431,12.745
0min23sec,1,210,-5.471,12.749
0min22sec,1,220,-5.472,12.747
0min22sec,1,230,-5.428,12.744
0min23sec,1,240,-5.467,12.747
0min23sec,1,250,-5.507,12.751
0min23sec,1,260,-5.482,12.748
0min22sec,1,270,-5.477,12.746
0min22sec,1,280,-5.461,12.744
0min22sec,1,290,-5.420,12.742
0min22sec,1,300,-5.356,12.736
0min23sec,1,310,-5.331,12.732
0min22sec,1,320,-5.335,12.730
0min22sec,1,330,-5.264,12.725
0min22sec,1,340,-5.239,12.722
0min22sec,1,350,-5.221,12.720
0min22sec,1,360,-5.201,12.718
0min22sec,1,370,-5.180,12.717
0min23sec,1,380,-5.217,12.719
0min23sec,1,390,-5.229,12.720
0min22sec,1,400,-5.259,12.721
0min22sec,1,410,-5.287,12.722
0min22sec,1,420,-5.295,12.722
0min22sec,1,430,-5.296,12.721
0min23sec,1,440,-5.290,12.719
0min23sec,1,450,-5.269,12.717
0min22sec,1,460,-5.299,12.716
0min22sec,1,470,-5.280,12.715
0min23sec,1,480,-5.290,12.715
0min23sec,1,490,-5.307,12.718
0min22sec,1,500,-5.283,12.716
0min23sec,1,510,-5.248,12.714
0min22sec,1,520,-5.222,12.712
0min22sec,1,530,-5.213,12.711
0min22sec,1,540,-5.174,12.708
0min22sec,1,550,-5.121,12.705
0min22sec,1,560,-5.090,12.703
0min22sec,1,570,-5.082,12.702
0min22sec,1,580,-5.050,12.700
0min22sec,1,590,-5.028,12.698
0min23sec,1,600,-5.001,12.696
0min23sec,1,610,-4.989,12.695
0min22sec,1,620,-4.982,12.693
0min22sec,1,630,-4.966,12.692
0min23sec,1,640,-4.957,12.692
0min22sec,1,650,-4.943,12.690
0min22sec,1,660,-4.920,12.688
0min22sec,1,670,-4.908,12.687
0min22sec,1,680,-4.885,12.685
0min22sec,1,690,-4.856,12.683
0min22sec,1,700,-4.867,12.683
0min23sec,1,710,-4.859,12.682
0min23sec,1,720,-4.842,12.680
0min23sec,1,730,-4.849,12.680
0min23sec,1,740,-4.855,12.680
0min23sec,1,750,-4.865,12.679
0min22sec,1,760,-4.840,12.676
0min22sec,1,770,-4.813,12.674
0min22sec,1,780,-4.801,12.674
0min22sec,1,790,-4.810,12.675
0min22sec,1,800,-4.813,12.676
0min22sec,1,810,-4.817,12.676
0min22sec,1,820,-4.811,12.676
0min22sec,1,830,-4.808,12.676
0min23sec,1,840,-4.800,12.676
0min22sec,1,850,-4.792,12.675
0min23sec,1,860,-4.785,12.674
0min23sec,1,870,-4.799,12.675
0min23sec,1,880,-4.845,12.677
0min24sec,1,890,-4.894,12.680
0min23sec,1,900,-4.922,12.681
0min22sec,1,910,-4.924,12.681
0min22sec,1,920,-4.944,12.682
0min22sec,1,930,-4.933,12.681
0min22sec,1,940,-4.924,12.680
0min22sec,1,950,-4.897,12.677
0min23sec,1,960,-4.874,12.676
0min23sec,1,970,-4.870,12.675
0min23sec,1,980,-4.856,12.673
0min23sec,1,990,-4.845,12.672
0min23sec,1,1000,-4.831,12.670
0min23sec,1,1010,-4.824,12.669
0min23sec,1,1020,-4.834,12.669
0min23sec,1,1030,-4.844,12.669
0min22sec,1,1040,-4.828,12.668
0min22sec,1,1050,-4.805,12.666
0min22sec,1,1060,-4.794,12.665
0min22sec,1,1070,-4.797,12.664
0min23sec,1,1080,-4.807,12.664
0min23sec,1,1090,-4.815,12.664
0min22sec,1,1100,-4.819,12.664
0min22sec,1,1110,-4.824,12.664
0min22sec,1,1120,-4.806,12.662
0min23sec,1,1130,-4.800,12.661
0min22sec,1,1140,-4.802,12.661
0min23sec,1,1150,-4.807,12.661
0min23sec,1,1160,-4.806,12.660
0min23sec,1,1170,-4.830,12.661
0min23sec,1,1180,-4.854,12.663
0min22sec,1,1190,-4.851,12.663
0min23sec,1,1200,-4.858,12.663
0min22sec,1,1210,-4.866,12.664
0min22sec,1,1220,-4.858,12.664
0min22sec,1,1230,-4.858,12.663
0min22sec,1,1240,-4.856,12.663
0min22sec,1,1250,-4.853,12.663
0min24sec,1,1260,-4.849,12.663
0min22sec,1,1270,-4.841,12.663
0min22sec,1,1280,-4.840,12.663
0min22sec,1,1290,-4.823,12.662
0min22sec,1,1300,-4.801,12.661
0min22sec,1,1310,-4.784,12.659
0min22sec,1,1320,-4.778,12.659
0min22sec,1,1330,-4.772,12.658
0min22sec,1,1340,-4.769,12.658
0min22sec,1,1350,-4.779,12.658
0min22sec,1,1360,-4.792,12.659
0min22sec,1,1370,-4.781,12.659
0min22sec,1,1380,-4.774,12.658
0min22sec,1,1390,-4.776,12.657
0min23sec,1,1400,-4.774,12.657
0min23sec,1,1410,-4.761,12.656
0min22sec,1,1420,-4.761,12.656
0min22sec,1,1430,-4.757,12.656
0min22sec,1,1440,-4.753,12.655
0min22sec,1,1450,-4.759,12.655
0min22sec,1,1460,-4.769,12.656
0min23sec,1,1470,-4.787,12.657
0min23sec,1,1480,-4.795,12.658
0min22sec,1,1490,-4.787,12.657
0min22sec,1,1500,-4.776,12.656
0min22sec,1,1510,-4.770,12.655
0min22sec,1,1520,-4.760,12.654
0min22sec,1,1530,-4.758,12.654
0min22sec,1,1540,-4.748,12.653
0min22sec,1,1550,-4.740,12.653
0min22sec,1,1560,-4.731,12.652
0min22sec,1,1570,-4.717,12.651
0min22sec,1,1580,-4.718,12.651
0min22sec,1,1590,-4.715,12.650
0min22sec,1,1600,-4.709,12.650
0min22sec,1,1610,-4.697,12.649
0min22sec,1,1620,-4.692,12.648
0min22sec,1,1630,-4.695,12.648
0min22sec,1,1640,-4.693,12.648
0min23sec,1,1650,-4.694,12.648
0min24sec,1,1660,-4.703,12.649
0min23sec,1,1670,-4.708,12.649
0min22sec,1,1680,-4.711,12.649
0min22sec,1,1690,-4.701,12.648
0min22sec,1,1700,-4.694,12.648
0min22sec,1,1710,-4.694,12.647
0min22sec,1,1720,-4.690,12.647
0min22sec,1,1730,-4.680,12.646
0min22sec,1,1740,-4.667,12.645
0min22sec,1,1750,-4.659,12.645
0min22sec,1,1760,-4.656,12.644
0min22sec,1,1770,-4.664,12.645
0min22sec,1,1780,-4.658,12.644
0min22sec,1,1790,-4.647,12.643
0min22sec,1,1800,-4.641,12.642
0min22sec,1,1810,-4.631,12.641
0min22sec,1,1820,-4.619,12.640
0min22sec,1,1830,-4.605,12.639
0min22sec,1,1840,-4.591,12.637
0min22sec,1,1850,-4.576,12.637
0min22sec,1,1860,-4.564,12.635
0min23sec,1,1870,-4.563,12.635
0min22sec,1,1880,-4.552,12.634
0min22sec,1,1890,-4.543,12.634
0min22sec,1,1900,-4.535,12.633
0min22sec,1,1910,-4.523,12.632
0min22sec,1,1920,-4.514,12.631
0min22sec,1,1930,-4.507,12.630
0min22sec,1,1940,-4.497,12.630
0min23sec,1,1950,-4.487,12.629
0min22sec,1,1960,-4.478,12.628
0min22sec,1,1970,-4.469,12.627
0min22sec,1,1980,-4.462,12.627
0min22sec,1,1990,-4.460,12.626
0min22sec,1,2000,-4.463,12.627
0min22sec,1,2010,-4.454,12.626
0min22sec,1,2020,-4.440,12.625
0min22sec,1,2030,-4.433,12.624
0min22sec,1,2040,-4.416,12.623
0min22sec,1,2050,-4.407,12.622
0min22sec,1,2060,-4.406,12.622
0min22sec,1,2070,-4.406,12.622
0min22sec,1,2080,-4.404,12.622
0min22sec,1,2090,-4.395,12.621
0min22sec,1,2100,-4.383,12.619
0min22sec,1,2110,-4.366,12.618
0min22sec,1,2120,-4.354,12.617
0min22sec,1,2130,-4.346,12.617
0min21sec,1,2140,-4.345,12.617
0min22sec,1,2150,-4.337,12.616
0min22sec,1,2160,-4.328,12.616
0min23sec,1,2170,-4.327,12.615
0min22sec,1,2180,-4.318,12.615
0min22sec,1,2190,-4.314,12.614
0min22sec,1,2200,-4.308,12.614
0min22sec,1,2210,-4.295,12.613
0min22sec,1,2220,-4.289,12.613
0min22sec,1,2230,-4.284,12.613
0min22sec,1,2240,-4.269,12.612
0min22sec,1,2250,-4.259,12.611
0min22sec,1,2260,-4.250,12.611
0min22sec,1,2270,-4.244,12.610
0min22sec,1,2280,-4.236,12.609
0min22sec,1,2290,-4.225,12.608
0min22sec,1,2300,-4.217,12.607
0min22sec,1,2310,-4.209,12.606
0min22sec,1,2320,-4.202,12.605
0min22sec,1,2330,-4.195,12.605
0min22sec,1,2340,-4.186,12.604
0min22sec,1,2350,-4.179,12.604
0min22sec,1,2360,-4.172,12.603
0min22sec,1,2370,-4.158,12.602
0min22sec,1,2380,-4.149,12.602
0min22sec,1,2390,-4.149,12.602
0min22sec,1,2400,-4.139,12.601
0min22sec,1,2410,-4.129,12.600
0min22sec,1,2420,-4.121,12.599
0min23sec,1,2430,-4.127,12.600
0min22sec,1,2440,-4.126,12.600
0min22sec,1,2450,-4.129,12.600
0min23sec,1,2460,-4.130,12.600
0min22sec,1,2470,-4.122,12.599
0min22sec,1,2480,-4.119,12.599
0min22sec,1,2490,-4.114,12.599
39min2sec,2,0,-1.778,12.501
0min22sec,2,10,-3.980,12.526
0min22sec,2,20,-3.706,12.519
0min22sec,2,30,-3.464,12.507
0min22sec,2,40,-3.285,12.499
0min22sec,2,50,-3.280,12.491
0min22sec,2,60,-3.184,12.475
0min22sec,2,70,-3.153,12.475
0min22sec,2,80,-3.088,12.475
0min22sec,2,90,-3.058,12.470
0min22sec,2,100,-2.878,12.460
0min23sec,2,110,-2.990,12.470
0min23sec,2,120,-3.016,12.482
0min23sec,2,130,-3.134,12.490
0min22sec,2,140,-3.174,12.491
0min22sec,2,150,-3.168,12.488
0min22sec,2,160,-3.097,12.482
0min22sec,2,170,-3.064,12.478
0min22sec,2,180,-2.983,12.470
0min22sec,2,190,-2.884,12.463
0min22sec,2,200,-2.840,12.458
0min22sec,2,210,-2.816,12.452
0min22sec,2,220,-2.730,12.447
0min23sec,2,230,-2.760,12.450
0min22sec,2,240,-2.744,12.448
0min22sec,2,250,-2.721,12.447
0min22sec,2,260,-2.665,12.443
0min22sec,2,270,-2.613,12.438
0min22sec,2,280,-2.581,12.435
0min22sec,2,290,-2.562,12.433
0min22sec,2,300,-2.539,12.431
0min22sec,2,310,-2.505,12.430
0min22sec,2,320,-2.492,12.431
0min23sec,2,330,-2.536,12.434
0min22sec,2,340,-2.535,12.435
0min22sec,2,350,-2.541,12.436
0min23sec,2,360,-2.562,12.438
0min22sec,2,370,-2.559,12.438
0min22sec,2,380,-2.524,12.435
0min23sec,2,390,-2.511,12.434
0min23sec,2,400,-2.536,12.436
0min24sec,2,410,-2.614,12.441
0min24sec,2,420,-2.708,12.447
0min23sec,2,430,-2.758,12.451
0min22sec,2,440,-2.746,12.451
0min23sec,2,450,-2.745,12.451
0min22sec,2,460,-2.757,12.451
0min22sec,2,470,-2.745,12.449
0min23sec,2,480,-2.734,12.448
0min24sec,2,490,-2.781,12.451
0min23sec,2,500,-2.787,12.450
0min23sec,2,510,-2.806,12.451
0min23sec,2,520,-2.812,12.450
0min22sec,2,530,-2.813,12.449
0min22sec,2,540,-2.798,12.449
0min23sec,2,550,-2.804,12.449
0min23sec,2,560,-2.781,12.448
0min22sec,2,570,-2.776,12.448
0min23sec,2,580,-2.766,12.447
0min23sec,2,590,-2.748,12.446
0min23sec,2,600,-2.763,12.447
0min23sec,2,610,-2.773,12.447
0min23sec,2,620,-2.763,12.447
0min23sec,2,630,-2.767,12.448
0min23sec,2,640,-2.768,12.449
0min23sec,2,650,-2.751,12.448
0min22sec,2,660,-2.731,12.447
0min22sec,2,670,-2.720,12.446
0min23sec,2,680,-2.746,12.447
0min23sec,2,690,-2.739,12.445
0min23sec,2,700,-2.715,12.443
0min23sec,2,710,-2.713,12.443
0min23sec,2,720,-2.677,12.440
0min23sec,2,730,-2.652,12.438
0min22sec,2,740,-2.647,12.437
0min23sec,2,750,-2.681,12.439
0min24sec,2,760,-2.714,12.441
0min22sec,2,770,-2.700,12.440
0min22sec,2,780,-2.702,12.440
0min22sec,2,790,-2.699,12.439
0min23sec,2,800,-2.712,12.441
0min23sec,2,810,-2.734,12.443
0min23sec,2,820,-2.759,12.445
0min22sec,2,830,-2.761,12.446
0min22sec,2,840,-2.762,12.446
0min23sec,2,850,-2.756,12.446
0min22sec,2,860,-2.754,12.446
0min22sec,2,870,-2.760,12.447
0min22sec,2,880,-2.748,12.446
0min22sec,2,890,-2.750,12.447
0min22sec,2,900,-2.740,12.446
0min22sec,2,910,-2.734,12.445
0min22sec,2,920,-2.720,12.444
0min22sec,2,930,-2.703,12.443
0min22sec,2,940,-2.690,12.443
0min22sec,2,950,-2.672,12.441
0min22sec,2,960,-2.655,12.440
0min23sec,2,970,-2.654,12.439
0min23sec,2,980,-2.664,12.439
0min23sec,2,990,-2.664,12.439
0min23sec,2,1000,-2.655,12.438
0min23sec,2,1010,-2.645,12.437
0min22sec,2,1020,-2.652,12.438
0min22sec,2,1030,-2.657,12.438
0min22sec,2,1040,-2.656,12.438
0min23sec,2,1050,-2.657,12.438
0min22sec,2,1060,-2.672,12.439
0min22sec,2,1070,-2.663,12.439
0min22sec,2,1080,-2.653,12.438
0min22sec,2,1090,-2.642,12.437
0min22sec,2,1100,-2.633,12.437
0min22sec,2,1110,-2.624,12.437
0min22sec,2,1120,-2.627,12.437
0min22sec,2,1130,-2.630,12.437
0min22sec,2,1140,-2.638,12.437
0min22sec,2,1150,-2.627,12.436
0min22sec,2,1160,-2.615,12.434
0min22sec,2,1170,-2.596,12.433
0min22sec,2,1180,-2.595,12.433
0min22sec,2,1190,-2.589,12.432
0min22sec,2,1200,-2.586,12.431
0min22sec,2,1210,-2.588,12.431
0min22sec,2,1220,-2.589,12.431
0min23sec,2,1230,-2.586,12.431
0min23sec,2,1240,-2.581,12.430
0min23sec,2,1250,-2.580,12.429
0min22sec,2,1260,-2.571,12.428
0min22sec,2,1270,-2.564,12.428
0min22sec,2,1280,-2.552,12.426
0min22sec,2,1290,-2.530,12.425
0min23sec,2,1300,-2.523,12.423
0min22sec,2,1310,-2.512,12.423
0min22sec,2,1320,-2.505,12.422
0min22sec,2,1330,-2.493,12.420
0min23sec,2,1340,-2.494,12.420
0min22sec,2,1350,-2.496,12.420
0min22sec,2,1360,-2.509,12.421
0min22sec,2,1370,-2.521,12.421
0min22sec,2,1380,-2.525,12.421
0min23sec,2,1390,-2.538,12.421
0min22sec,2,1400,-2.542,12.422
0min22sec,2,1410,-2.538,12.421
0min22sec,2,1420,-2.530,12.421
0min22sec,2,1430,-2.522,12.420
0min22sec,2,1440,-2.513,12.420
0min22sec,2,1450,-2.502,12.419
0min22sec,2,1460,-2.504,12.419
0min22sec,2,1470,-2.504,12.420
0min22sec,2,1480,-2.507,12.420
0min22sec,2,1490,-2.503,12.419
0min22sec,2,1500,-2.510,12.419
0min22sec,2,1510,-2.508,12.418
0min22sec,2,1520,-2.495,12.417
0min22sec,2,1530,-2.490,12.416
0min22sec,2,1540,-2.496,12.416
0min22sec,2,1550,-2.492,12.416
0min22sec,2,1560,-2.485,12.416
0min23sec,2,1570,-2.476,12.415
0min22sec,2,1580,-2.464,12.415
0min22sec,2,1590,-2.453,12.414
0min23sec,2,1600,-2.450,12.414
0min23sec,2,1610,-2.440,12.413
0min22sec,2,1620,-2.427,12.412
0min22sec,2,1630,-2.421,12.412
0min22sec,2,1640,-2.411,12.412
0min22sec,2,1650,-2.401,12.411
0min23sec,2,1660,-2.399,12.411
0min23sec,2,1670,-2.399,12.411
0min22sec,2,1680,-2.400,12.412
0min22sec,2,1690,-2.399,12.412
0min22sec,2,1700,-2.399,12.412
0min22sec,2,1710,-2.393,12.411
0min22sec,2,1720,-2.386,12.411
0min22sec,2,1730,-2.380,12.410
0min22sec,2,1740,-2.388,12.410
0min23sec,2,1750,-2.397,12.411
0min23sec,2,1760,-2.414,12.412
0min22sec,2,1770,-2.422,12.412
0min22sec,2,1780,-2.424,12.412
0min22sec,2,1790,-2.422,12.412
0min24sec,2,1800,-2.412,12.411
0min22sec,2,1810,-2.405,12.410
0min22sec,2,1820,-2.398,12.410
0min22sec,2,1830,-2.387,12.409
0min22sec,2,1840,-2.383,12.409
0min22sec,2,1850,-2.388,12.409
0min23sec,2,1860,-2.396,12.409
0min22sec,2,1870,-2.393,12.409
0min22sec,2,1880,-2.391,12.409
0min22sec,2,1890,-2.385,12.408
0min22sec,2,1900,-2.374,12.407
0min22sec,2,1910,-2.369,12.406
0min22sec,2,1920,-2.360,12.406
0min22sec,2,1930,-2.353,12.405
0min22sec,2,1940,-2.348,12.405
0min22sec,2,1950,-2.349,12.404
0min23sec,2,1960,-2.355,12.405
0min23sec,2,1970,-2.357,12.404
0min22sec,2,1980,-2.355,12.404
0min22sec,2,1990,-2.357,12.404
0min22sec,2,2000,-2.358,12.404
0min22sec,2,2010,-2.350,12.404
0min22sec,2,2020,-2.341,12.403
0min22sec,2,2030,-2.331,12.402
0min22sec,2,2040,-2.326,12.401
0min22sec,2,2050,-2.318,12.401
0min22sec,2,2060,-2.316,12.401
0min22sec,2,2070,-2.315,12.401
0min22sec,2,2080,-2.308,12.400
0min22sec,2,2090,-2.296,12.399
0min23sec,2,2100,-2.292,12.398
0min22sec,2,2110,-2.280,12.397
0min22sec,2,2120,-2.274,12.397
0min22sec,2,2130,-2.265,12.396
0min22sec,2,2140,-2.258,12.396
0min22sec,2,2150,-2.246,12.396
0min22sec,2,2160,-2.244,12.396
0min22sec,2,2170,-2.241,12.396
0min23sec,2,2180,-2.239,12.396
0min23sec,2,2190,-2.242,12.396
0min23sec,2,2200,-2.237,12.396
0min23sec,2,2210,-2.231,12.395
0min22sec,2,2220,-2.226,12.395
0min22sec,2,2230,-2.221,12.394
0min22sec,2,2240,-2.220,12.393
