time,epoch,batch,loss,cost
0min4sec,0,0,4.722,20.704,7.128
0min35sec,0,10,22.325,19.696,5.840
0min31sec,0,20,24.194,18.796,5.519
0min30sec,0,30,22.983,17.950,5.269
0min30sec,0,40,20.431,17.215,5.020
0min31sec,0,50,18.535,16.530,4.798
0min35sec,0,60,16.604,15.931,4.614
0min33sec,0,70,14.743,15.430,4.451
0min27sec,0,80,13.232,14.999,4.305
0min31sec,0,90,11.884,14.646,4.170
0min35sec,0,100,10.727,14.346,4.046
0min29sec,0,110,9.754,14.092,3.963
0min36sec,0,120,8.998,13.867,3.876
0min37sec,0,130,8.329,13.667,3.796
0min36sec,0,140,7.763,13.487,3.721
0min37sec,0,150,7.252,13.326,3.644
0min37sec,0,160,6.810,13.178,3.581
0min37sec,0,170,6.417,13.046,3.518
0min37sec,0,180,6.056,12.927,3.460
0min36sec,0,190,5.753,12.814,3.403
0min35sec,0,200,5.462,12.711,3.354
0min38sec,0,210,5.191,12.617,3.305
0min36sec,0,220,4.956,12.528,3.260
0min36sec,0,230,4.743,12.445,3.218
0min36sec,0,240,4.530,12.368,3.174
0min36sec,0,250,4.334,12.300,3.136
0min36sec,0,260,4.178,12.234,3.103
0min38sec,0,270,4.012,12.171,3.067
0min35sec,0,280,3.864,12.111,3.035
0min35sec,0,290,3.729,12.053,3.004
0min36sec,0,300,3.591,11.998,2.977
0min35sec,0,310,3.461,11.947,2.948
0min36sec,0,320,3.344,11.900,2.922
0min35sec,0,330,3.221,11.856,2.900
0min35sec,0,340,3.127,11.811,2.873
0min28sec,0,350,3.035,11.768,2.848
0min30sec,0,360,2.940,11.729,2.830
0min24sec,0,370,2.858,11.690,2.808
0min24sec,0,380,2.772,11.653,2.787
0min30sec,0,390,2.706,11.616,2.766
0min32sec,0,400,2.618,11.582,2.748
0min29sec,0,410,2.545,11.550,2.730
0min23sec,0,420,2.482,11.518,2.713
0min23sec,0,430,2.419,11.488,2.696
0min24sec,0,440,2.370,11.456,2.677
0min29sec,0,450,2.301,11.428,2.662
0min25sec,0,460,2.246,11.400,2.646
0min26sec,0,470,2.188,11.373,2.629
0min26sec,0,480,2.138,11.347,2.615
0min25sec,0,490,2.095,11.322,2.603
0min28sec,0,500,2.041,11.299,2.588
0min29sec,0,510,1.997,11.276,2.576
0min26sec,0,520,1.966,11.252,2.563
0min28sec,0,530,1.918,11.230,2.550
0min31sec,0,540,1.879,11.209,2.537
0min30sec,0,550,1.842,11.188,2.525
0min28sec,0,560,1.802,11.167,2.513
0min32sec,0,570,1.771,11.147,2.502
0min25sec,0,580,1.742,11.128,2.490
0min25sec,0,590,1.705,11.108,2.479
0min26sec,0,600,1.671,11.090,2.469
0min27sec,0,610,1.634,11.072,2.460
0min26sec,0,620,1.600,11.054,2.449
0min28sec,0,630,1.575,11.037,2.439
0min29sec,0,640,1.551,11.020,2.428
